Feature,Importance
numerical__social_media_hours,0.2672142599361452
numerical__daily_screen_time_hours,0.20972555589416494
numerical__weekend_screen_time,0.13898221989833603
numerical__screen_to_sleep_ratio,0.10423326076798105
numerical__total_leisure_hours,0.08917863871367032
numerical__productive_time_ratio,0.04288442876328937
numerical__gaming_hours,0.02286960169731609
numerical__sleep_hours,0.020022283861840594
numerical__weekend_screen_time_increase,0.019164180123187814
numerical__work_study_hours,0.016484493900139233
numerical__notifications_per_day,0.014600028892243731
numerical__app_opens_per_day,0.014153039196558892
numerical__notification_intensity,0.014050563341966058
numerical__age,0.010117098061511405
categorical__academic_work_impact_No,0.00227730242833633
categorical__gender_Female,0.002132365437358731
categorical__gender_Male,0.002051889588814021
categorical__stress_level_Low,0.002045535330334319
categorical__academic_work_impact_Yes,0.0020048453083544647
categorical__gender_Other,0.001997831564071924
categorical__stress_level_High,0.0019964255191406315
categorical__stress_level_Medium,0.0018141517752388841
